Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,UpdateAccountLastActivity,1301.147,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1301.156,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1301.157,W,lastActivity,,,,
accountStats,UpdateAccountStats,1301.158,W,stats,,,,
systemSaveData,StoreSystemSaveData,1301.173,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1316.984,R,uuid,,,,
activeClientSessions,IsActiveSession,1316.984,R,id,,,,
verify system,,1316.984,,,,,,
sessions,FetchUUIDFromToken,1333.065,R,uuid,,,,
activeClientSessions,IsActiveSession,1333.065,R,id,,,,
verify system,,1333.065,,,,,,
sessions,FetchUUIDFromToken,1347.750,R,uuid,,,,
activeClientSessions,IsActiveSession,1347.750,R,id,,,,
verify system,,1347.750,,,,,,
sessions,FetchUUIDFromToken,1386.543,R,uuid,,,,
activeClientSessions,IsActiveSession,1386.544,R,id,,,,
verify system,,1386.544,,,,,,
sessions,FetchUUIDFromToken,1417.772,R,uuid,,,,
updateAll,,1417.772,,,,,,
activeClientSessions,IsActiveSession,1419.619,R,id,,,,
accounts,FetchTrainerIds,1419.619,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1419.620,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1419.621,R,data,,,,
accounts,UpdateAccountLastActivity,1419.625,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1419.632,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1419.633,W,lastActivity,,,,
accountStats,UpdateAccountStats,1419.635,W,stats,,,,
systemSaveData,StoreSystemSaveData,1419.649,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1446.912,R,uuid,,,,
activeClientSessions,IsActiveSession,1446.913,R,id,,,,
verify system,,1446.913,,,,,,
sessions,FetchUUIDFromToken,1501.731,R,uuid,,,,
activeClientSessions,IsActiveSession,1501.731,R,id,,,,
verify system,,1501.731,,,,,,
sessions,FetchUUIDFromToken,1542.349,R,uuid,,,,
activeClientSessions,IsActiveSession,1542.350,R,id,,,,
verify system,,1542.350,,,,,,
sessions,FetchUUIDFromToken,1622.754,R,uuid,,,,
activeClientSessions,IsActiveSession,1622.754,R,id,,,,
verify system,,1622.754,,,,,,
sessions,FetchUUIDFromToken,1661.369,R,uuid,,,,
updateAll,,1661.369,,,,,,
activeClientSessions,IsActiveSession,1662.014,R,id,,,,
accounts,FetchTrainerIds,1662.015,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1662.016,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1662.016,R,data,,,,
accounts,UpdateAccountLastActivity,1662.020,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1662.034,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1662.035,W,lastActivity,,,,
accountStats,UpdateAccountStats,1662.038,W,stats,,,,
systemSaveData,StoreSystemSaveData,1662.064,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1709.054,R,uuid,,,,
activeClientSessions,IsActiveSession,1709.055,R,id,,,,
verify system,,1709.055,,,,,,
sessions,FetchUUIDFromToken,1721.521,R,uuid,,,,
activeClientSessions,IsActiveSession,1721.522,R,id,,,,
verify system,,1721.522,,,,,,
sessions,FetchUUIDFromToken,1805.360,R,uuid,,,,
activeClientSessions,IsActiveSession,1805.361,R,id,,,,
verify system,,1805.361,,,,,,
sessions,FetchUUIDFromToken,1824.661,R,uuid,,,,
activeClientSessions,IsActiveSession,1824.662,R,id,,,,
verify system,,1824.662,,,,,,
sessions,FetchUUIDFromToken,1936.755,R,uuid,,,,
updateAll,,1936.755,,,,,,
activeClientSessions,IsActiveSession,1938.799,R,id,,,,
accounts,FetchTrainerIds,1938.800,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1938.801,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1938.801,R,data,,,,
accounts,UpdateAccountLastActivity,1938.805,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1938.821,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1938.821,W,lastActivity,,,,
accountStats,UpdateAccountStats,1938.824,W,stats,,,,
systemSaveData,StoreSystemSaveData,1938.848,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1956.908,R,uuid,,,,
activeClientSessions,IsActiveSession,1956.909,R,id,,,,
verify system,,1956.909,,,,,,
sessions,FetchUUIDFromToken,1997.909,R,uuid,,,,
activeClientSessions,IsActiveSession,1997.910,R,id,,,,
verify system,,1997.910,,,,,,
sessions,FetchUUIDFromToken,2015.658,R,uuid,,,,
activeClientSessions,IsActiveSession,2015.659,R,id,,,,
verify system,,2015.659,,,,,,
sessions,FetchUUIDFromToken,2054.082,R,uuid,,,,
Info,,2054.082,,,,,,
accounts,FetchUsernameFromUUID,2054.083,R,userName,,,,
accounts,FetchDiscordIdByUsername,2054.084,R,discordId,,,,
accounts,FetchGoogleIdByUsername,2054.086,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,2054.087,R,slot,,,,
sessions,FetchUUIDFromToken,2054.287,R,uuid,,,,
activeClientSessions,IsActiveSession,2054.288,R,id,,,,
get system,,2054.288,,,,,,
activeClientSessions,UpdateActiveSession,2054.290,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,2054.291,R,data,,,,
sessions,FetchUUIDFromToken,2076.789,R,uuid,,,,
Info,,2076.789,,,,,,
accounts,FetchUsernameFromUUID,2076.790,R,userName,,,,
accounts,FetchDiscordIdByUsername,2076.791,R,discordId,,,,
accounts,FetchGoogleIdByUsername,2076.792,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,2076.792,R,slot,,,,
sessions,FetchUUIDFromToken,2076.992,R,uuid,,,,
activeClientSessions,IsActiveSession,2076.993,R,id,,,,
get system,,2076.993,,,,,,
activeClientSessions,UpdateActiveSession,2076.995,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,2076.995,R,data,,,,
sessions,FetchUUIDFromToken,2112.573,R,uuid,,,,
Info,,2112.573,,,,,,
accounts,FetchUsernameFromUUID,2112.573,R,userName,,,,
accounts,FetchDiscordIdByUsername,2112.575,R,discordId,,,,
accounts,FetchGoogleIdByUsername,2112.576,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,2112.576,R,slot,,,,
sessions,FetchUUIDFromToken,2112.775,R,uuid,,,,
activeClientSessions,IsActiveSession,2112.776,R,id,,,,
get system,,2112.776,,,,,,
activeClientSessions,UpdateActiveSession,2112.778,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,2112.779,R,data,,,,
sessions,FetchUUIDFromToken,2143.158,R,uuid,,,,
activeClientSessions,IsActiveSession,2143.159,R,id,,,,
verify system,,2143.159,,,,,,
sessions,FetchUUIDFromToken,2185.960,R,uuid,,,,
updateAll,,2185.960,,,,,,
activeClientSessions,IsActiveSession,2186.576,R,id,,,,
accounts,FetchTrainerIds,2186.576,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2186.577,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2186.578,R,data,,,,
accounts,UpdateAccountLastActivity,2186.582,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2186.592,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2186.593,W,lastActivity,,,,
accountStats,UpdateAccountStats,2186.596,W,stats,,,,
systemSaveData,StoreSystemSaveData,2186.614,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2213.108,R,uuid,,,,
activeClientSessions,IsActiveSession,2213.109,R,id,,,,
verify system,,2213.109,,,,,,
sessions,FetchUUIDFromToken,2254.049,R,uuid,,,,
activeClientSessions,IsActiveSession,2254.050,R,id,,,,
verify system,,2254.050,,,,,,
sessions,FetchUUIDFromToken,2292.516,R,uuid,,,,
activeClientSessions,IsActiveSession,2292.517,R,id,,,,
verify system,,2292.517,,,,,,
sessions,FetchUUIDFromToken,2378.573,R,uuid,,,,
activeClientSessions,IsActiveSession,2378.573,R,id,,,,
verify system,,2378.573,,,,,,
sessions,FetchUUIDFromToken,2424.633,R,uuid,,,,
updateAll,,2424.633,,,,,,
activeClientSessions,IsActiveSession,2426.468,R,id,,,,
accounts,FetchTrainerIds,2426.469,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2426.470,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2426.471,R,data,,,,
accounts,UpdateAccountLastActivity,2426.479,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2426.505,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2426.507,W,lastActivity,,,,
accountStats,UpdateAccountStats,2426.510,W,stats,,,,
systemSaveData,StoreSystemSaveData,2426.540,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2532.142,R,uuid,,,,
activeClientSessions,IsActiveSession,2532.143,R,id,,,,
verify system,,2532.143,,,,,,
sessions,FetchUUIDFromToken,2559.194,R,uuid,,,,
activeClientSessions,IsActiveSession,2559.195,R,id,,,,
verify system,,2559.195,,,,,,
sessions,FetchUUIDFromToken,2587.489,R,uuid,,,,
activeClientSessions,IsActiveSession,2587.490,R,id,,,,
verify system,,2587.490,,,,,,
sessions,FetchUUIDFromToken,2618.597,R,uuid,,,,
activeClientSessions,IsActiveSession,2618.598,R,id,,,,
verify system,,2618.598,,,,,,
sessions,FetchUUIDFromToken,2664.558,R,uuid,,,,
updateAll,,2664.558,,,,,,
activeClientSessions,IsActiveSession,2664.570,R,id,,,,
accounts,FetchTrainerIds,2664.571,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2664.572,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2664.573,R,data,,,,
accounts,UpdateAccountLastActivity,2664.580,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2664.598,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2664.600,W,lastActivity,,,,
accountStats,UpdateAccountStats,2664.602,W,stats,,,,
systemSaveData,StoreSystemSaveData,2664.651,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2717.132,R,uuid,,,,
activeClientSessions,IsActiveSession,2717.133,R,id,,,,
verify system,,2717.133,,,,,,
sessions,FetchUUIDFromToken,2773.614,R,uuid,,,,
activeClientSessions,IsActiveSession,2773.614,R,id,,,,
verify system,,2773.614,,,,,,
sessions,FetchUUIDFromToken,2863.141,R,uuid,,,,
activeClientSessions,IsActiveSession,2863.142,R,id,,,,
verify system,,2863.142,,,,,,
sessions,FetchUUIDFromToken,2901.041,R,uuid,,,,
activeClientSessions,IsActiveSession,2901.042,R,id,,,,
verify system,,2901.042,,,,,,
sessions,FetchUUIDFromToken,2937.122,R,uuid,,,,
updateAll,,2937.122,,,,,,
activeClientSessions,IsActiveSession,2937.501,R,id,,,,
accounts,FetchTrainerIds,2937.501,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2937.502,R,playtime,,,,
