Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,930.632,R,uuid,,,,
activeClientSessions,UpdateActiveSession,930.632,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,930.632,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,930.633,R,data,,,,
sessionSaveData,ReadSessionSaveData,930.633,R,data,,,,
sessions,FetchUUIDFromToken,930.633,R,uuid,,,,
activeClientSessions,UpdateActiveSession,930.633,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,930.634,R,data,,,,
sessions,FetchUUIDFromToken,931.624,R,uuid,,,,
updateAll,,931.624,,,,,,
activeClientSessions,IsActiveSession,931.633,R,id,,,,
accounts,FetchTrainerIds,931.634,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,931.635,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,931.635,R,data,,,,
accounts,UpdateAccountLastActivity,931.637,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,931.643,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,931.643,W,lastActivity,,,,
accountStats,UpdateAccountStats,931.645,W,stats,,,,
systemSaveData,StoreSystemSaveData,931.661,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,987.816,R,uuid,,,,
activeClientSessions,IsActiveSession,987.817,R,id,,,,
verify system,,987.817,,,,,,
sessions,FetchUUIDFromToken,1013.635,R,uuid,,,,
activeClientSessions,IsActiveSession,1013.636,R,id,,,,
verify system,,1013.636,,,,,,
sessions,FetchUUIDFromToken,1029.854,R,uuid,,,,
activeClientSessions,IsActiveSession,1029.854,R,id,,,,
verify system,,1029.854,,,,,,
sessions,FetchUUIDFromToken,1059.719,R,uuid,,,,
activeClientSessions,IsActiveSession,1059.719,R,id,,,,
verify system,,1059.719,,,,,,
sessions,FetchUUIDFromToken,1095.227,R,uuid,,,,
updateAll,,1095.227,,,,,,
activeClientSessions,IsActiveSession,1095.238,R,id,,,,
accounts,FetchTrainerIds,1095.239,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1095.239,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1095.240,R,data,,,,
accounts,UpdateAccountLastActivity,1095.242,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1095.251,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1095.251,W,lastActivity,,,,
accountStats,UpdateAccountStats,1095.253,W,stats,,,,
systemSaveData,StoreSystemSaveData,1095.267,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1123.601,R,uuid,,,,
activeClientSessions,IsActiveSession,1123.602,R,id,,,,
verify system,,1123.602,,,,,,
sessions,FetchUUIDFromToken,1145.669,R,uuid,,,,
activeClientSessions,IsActiveSession,1145.670,R,id,,,,
verify system,,1145.670,,,,,,
sessions,FetchUUIDFromToken,1258.888,R,uuid,,,,
updateAll,,1258.888,,,,,,
activeClientSessions,IsActiveSession,1258.898,R,id,,,,
accounts,FetchTrainerIds,1258.899,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1258.899,R,playtime,,,,
