Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
updateAll,,1580.158,,,,,,
activeClientSessions,IsActiveSession,1580.185,R,id,,,,
accounts,FetchTrainerIds,1580.186,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1580.186,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1580.187,R,data,,,,
accounts,UpdateAccountLastActivity,1580.189,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1580.198,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1580.199,W,lastActivity,,,,
accountStats,UpdateAccountStats,1580.200,W,stats,,,,
systemSaveData,StoreSystemSaveData,1580.214,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1580.394,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1580.394,W,uuid,clientSessionId,,,
clear session,,1580.395,,,,,,
accounts,UpdateAccountLastActivity,1580.396,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,1580.397,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,1580.576,R,uuid,,,,
Info,,1580.576,,,,,,
accounts,FetchUsernameFromUUID,1580.577,R,userName,,,,
accounts,FetchDiscordIdByUsername,1580.578,R,discordId,,,,
accounts,FetchGoogleIdByUsername,1580.579,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,1580.579,R,slot,,,,
sessions,RemoveSessionFromToken,1604.305,W,token,,,,
logout,,1604.305,,,,,,
