Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accountStats,UpdateAccountStats,2703.340,W,stats,,,,
systemSaveData,StoreSystemSaveData,2703.360,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2730.516,R,uuid,,,,
activeClientSessions,IsActiveSession,2730.517,R,id,,,,
verify system,,2730.517,,,,,,
sessions,FetchUUIDFromToken,2750.839,R,uuid,,,,
activeClientSessions,IsActiveSession,2750.839,R,id,,,,
verify system,,2750.839,,,,,,
sessions,FetchUUIDFromToken,2777.382,R,uuid,,,,
activeClientSessions,IsActiveSession,2777.383,R,id,,,,
verify system,,2777.383,,,,,,
sessions,FetchUUIDFromToken,2805.528,R,uuid,,,,
activeClientSessions,IsActiveSession,2805.529,R,id,,,,
verify system,,2805.529,,,,,,
sessions,FetchUUIDFromToken,2878.789,R,uuid,,,,
updateAll,,2878.789,,,,,,
activeClientSessions,IsActiveSession,2879.959,R,id,,,,
accounts,FetchTrainerIds,2879.960,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2879.960,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2879.961,R,data,,,,
accounts,UpdateAccountLastActivity,2879.964,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2879.980,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2879.981,W,lastActivity,,,,
accountStats,UpdateAccountStats,2879.983,W,stats,,,,
systemSaveData,StoreSystemSaveData,2880.006,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,3048.792,R,uuid,,,,
activeClientSessions,IsActiveSession,3048.793,R,id,,,,
verify system,,3048.793,,,,,,
sessions,FetchUUIDFromToken,3072.622,R,uuid,,,,
activeClientSessions,IsActiveSession,3072.622,R,id,,,,
verify system,,3072.622,,,,,,
sessions,FetchUUIDFromToken,3148.723,R,uuid,,,,
activeClientSessions,IsActiveSession,3148.724,R,id,,,,
verify system,,3148.724,,,,,,
sessions,FetchUUIDFromToken,3172.763,R,uuid,,,,
activeClientSessions,IsActiveSession,3172.764,R,id,,,,
verify system,,3172.764,,,,,,
sessions,FetchUUIDFromToken,3219.068,R,uuid,,,,
updateAll,,3219.068,,,,,,
activeClientSessions,IsActiveSession,3220.049,R,id,,,,
accounts,FetchTrainerIds,3220.050,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,3220.050,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,3220.051,R,data,,,,
accounts,UpdateAccountLastActivity,3220.056,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,3220.072,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,3220.073,W,lastActivity,,,,
accountStats,UpdateAccountStats,3220.075,W,stats,,,,
systemSaveData,StoreSystemSaveData,3220.102,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,3254.585,R,uuid,,,,
activeClientSessions,IsActiveSession,3254.586,R,id,,,,
verify system,,3254.586,,,,,,
sessions,FetchUUIDFromToken,143581.226,R,uuid,,,,
Info,,143581.227,,,,,,
accounts,FetchUsernameFromUUID,143581.228,R,userName,,,,
accounts,FetchDiscordIdByUsername,143581.230,R,discordId,,,,
accounts,FetchGoogleIdByUsername,143581.231,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,143581.233,R,slot,,,,
sessions,FetchUUIDFromToken,143581.447,R,uuid,,,,
activeClientSessions,IsActiveSession,143581.449,R,id,,,,
get system,,143581.449,,,,,,
activeClientSessions,UpdateActiveSession,143581.453,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,143581.454,R,data,,,,
sessions,FetchUUIDFromToken,143714.571,R,uuid,,,,
Info,,143714.571,,,,,,
accounts,FetchUsernameFromUUID,143714.572,R,userName,,,,
accounts,FetchDiscordIdByUsername,143714.574,R,discordId,,,,
accounts,FetchGoogleIdByUsername,143714.576,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,143714.577,R,slot,,,,
sessions,FetchUUIDFromToken,143714.816,R,uuid,,,,
activeClientSessions,IsActiveSession,143714.817,R,id,,,,
get system,,143714.817,,,,,,
activeClientSessions,UpdateActiveSession,143714.820,W,uuid,clientSessionId,,,
systemSaveData,ReadSystemSaveData,143714.821,R,data,,,,
sessions,FetchUUIDFromToken,143964.164,R,uuid,,,,
activeClientSessions,IsActiveSession,143964.165,R,id,,,,
verify system,,143964.165,,,,,,
